seed	Area
364	11525.3
365	11889.8
366	11508.1
367	12502.4
368	12547.9
369	12650.2
370	12397
371	12208.7
372	12310
373	11286.3
374	13197.9
375	12671.4
376	12161.1
377	12421.4
378	11334.9
379	11465.5
380	12100.4
381	11966.7
382	12621.8
383	11245.8
384	12334.3
385	12030.5
386	12806.1
387	11514.1
388	11554.6
389	11128.4
390	11922.2
391	10857
392	11947.5
393	12228
394	12937.7
395	12066
396	12084.2
397	11022.1
398	11669.1
399	11404.8
400	11195.2
401	12031.5
402	12184.4
403	12073
404	12519.6
405	11434.2
406	11847.3
407	12042.7
408	12268.5
409	12352.5
410	11365.3
411	13065.3
412	11174
413	12912.4
414	11895.9
415	11307.6
416	12035.6
417	12458.8
418	10982.6
419	12262.4
420	12835.5
421	11454.4
422	11799.7
423	11974.8
424	11985
425	11966.7
426	11403.8
427	12027.5
428	12068
429	12070
430	12000.1
431	12994.4
432	12757.5
433	10600.9
434	11142.6
435	12044.7
436	10681.9
437	12156.1
438	11604.3
439	12604.6
440	11490.9
441	10888.4
442	12460.8
443	11908
444	12584.4
445	13160.5
446	12413.2
447	12850.6
448	13027.8
449	12425.4
450	11567.8
451	11489.9
452	11707.5
453	11257
454	12668.4
455	12177.3
456	11640.7
457	11405.8
458	12491.2
459	12182.4
460	12815.2
461	11897.9
462	12630.9
463	12313
464	11414.9
465	11824
466	12831.4
467	12365.7
468	12515.5
469	12063.9
470	12211.8
471	12714
472	11690.3
473	12457.8
474	12484.1
475	12302.9
476	12474
477	12755.5
478	12329.2
479	11724.8
480	11864.5
481	12311
482	11944.5
483	12538.8
484	12055.8
485	11632.6
486	11967.7
487	12527.7
488	11684.2
489	12093.3
490	12110.5
491	12450.7
492	11745
493	12155.1
494	12029.5
495	12202.6
496	12928.6
497	12435.5
498	12041.7
499	12219.9
500	11398.7
501	11964.7
502	11907
503	12141.9
504	10991.7
505	11506
506	12345.4
507	12481.1
508	11655.9
509	11750.1
510	12337.3
511	12464.9
512	12281.6
513	11452.4
514	12539.8
515	11679.2
516	11681.2
517	12259.4
518	12345.4
519	12001.2
520	11769.3
521	12121.6
522	11969.8
523	10593.8
524	12136.8
525	11769.3
526	11352.1
527	12353.5
528	11830
529	11379.5
530	11432.1
531	13181.7
532	11931.3
533	11646.8
534	11779.4
535	12031.5
536	12400.1
537	12848.6
538	11059.5
539	11494.9
540	11288.4
541	11524.3
542	11749
543	11892.8
544	11957.6
545	11621.5
546	11783.5
547	11280.3
548	11157.8
549	11849.3
550	11990
551	10513.8
552	11055.5
553	12183.4
554	10658.6
555	11396.7
556	12398.1
557	12147
558	12926.6
559	11563.8
560	12053.8
561	11353.2
562	12005.2
563	11762.2
564	11803.7
565	11761.2
566	12357.6
567	12844.6
568	12423.4
569	11225.6
570	12020.4
571	11710.6
572	11194.2
573	12274.5
574	11224.6
575	12528.7
576	11692.4
577	12075.1
578	11725.8
579	12190.5
580	12167.2
581	11554.6
582	13213.1
583	12288.7
584	11580
585	11870.5
586	11395.7
587	12069
588	11712.6
589	12660.3
590	12413.2
591	12125.7
592	10524.9
593	10646.4
594	12214.8
595	12544.9
596	11756.1
597	11070.7
598	11731.8
599	11560.7
600	12399.1
601	12254.3
